,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
10,5994,Shiba Inu,SHIB,shiba-inu,779,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589289410812691.0,589534086491242.2,False,,11,,,,2024-03-27T13:40:00.000Z,3.073718718772477e-05,1779533698.173198,-21.5996,0.86817417,1.05275528,20.20541743,220.64595727,239.84618792,187.18547645,18113098927.893723,0.6748,18120619570.03,,2024-03-27T13:40:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-03-27 16:42:00.807725
11,11419,Toncoin,TON,toncoin,238,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3470275400.926201,5104687763.97532,True,,12,3414166606.0,16885869808.665102,,2024-03-27T13:40:00.000Z,4.945824781658327,235918636.27932295,-18.0881,-1.47478733,-2.89870436,19.84607096,135.22695342,138.33846297,123.85347951,17163374077.080091,0.6426,25246891245.7,,2024-03-27T13:40:00.000Z,,,,,,2024-03-27 16:42:00.807725
12,6636,Polkadot,DOT,polkadot-new,725,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1426482618.4027038,1426482618.4027038,True,,13,,,,2024-03-27T13:41:00.000Z,9.686810865206743,374469498.7989593,13.9616,1.28355822,-1.21676598,5.96115118,25.78427643,45.86962252,13.65026142,13818067326.971874,0.5159,13818067326.97,,2024-03-27T13:41:00.000Z,,,,,,2024-03-27 16:42:00.807725
13,1975,Chainlink,LINK,chainlink,1704,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",1000000000.0,587099970.4527867,1000000000.0,False,,14,,,,2024-03-27T13:40:00.000Z,19.72974534799137,481698967.84317595,-12.7033,0.23134676,-2.22986487,12.60971325,7.48988996,38.54953856,16.99582884,11583332910.846739,0.4337,19729745347.99,,2024-03-27T13:40:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-03-27 16:42:00.807725
14,1958,TRON,TRX,tron,959,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,87762650894.33229,87762752443.28235,True,,15,71659659264.0,8665764853.512848,,2024-03-27T13:40:00.000Z,0.1209294733259541,313883681.9151943,-18.9719,0.35551839,-0.72430732,3.20782525,-12.71601984,6.63177539,13.97029104,10613091150.341179,0.3962,10613103430.6,,2024-03-27T13:40:00.000Z,,,,,,2024-03-27 16:42:00.807725
0,1,Bitcoin,BTC,bitcoin,10943,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19665712.0,19665712.0,False,,1,,,,2024-03-27T13:42:00.000Z,70560.71065020951,35744204483.13489,-20.3436,0.71672063,0.2599501,10.7464028,37.37735088,68.96067176,64.88759615,1387626614162.353,51.9895,1481774923654.4,,2024-03-27T13:42:00.000Z,,,,,,2024-03-27 16:43:02.463121
1,1027,Ethereum,ETH,ethereum,8658,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120073215.06618808,120073215.06618808,True,,2,,,,2024-03-27T13:41:00.000Z,3585.9733667977193,16935844146.230055,-20.2745,0.40933137,-0.39119443,7.07283597,16.73195331,58.2858401,49.56266325,430579351293.1251,16.0412,430579351293.13,,2024-03-27T13:41:00.000Z,,,,,,2024-03-27 16:43:02.463121
2,825,Tether USDt,USDT,tether,80375,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,104362092743.91322,107792615137.11449,True,,3,,,,2024-03-27T13:41:00.000Z,0.9997681912241734,77491177141.48248,-11.0646,-0.01471156,-0.02805771,0.01986197,-0.05710283,-0.01631171,-0.06844274,104337900694.95155,3.8871,107767627862.96,,2024-03-27T13:41:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-03-27 16:43:02.463121
3,1839,BNB,BNB,bnb,2124,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,149536620.39165115,149536620.39165115,False,,4,,,,2024-03-27T13:41:00.000Z,579.5425792947998,2087395810.695432,-2.873,0.48753587,-1.03084005,9.33268497,47.1658326,90.99658209,72.49797715,86662838680.80487,3.247,86662838680.8,,2024-03-27T13:41:00.000Z,,,,,,2024-03-27 16:43:02.463121
4,5426,Solana,SOL,solana,649,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,444306678.5286368,572748455.4786679,True,,5,,,,2024-03-27T13:41:00.000Z,189.1823190919019,3622444812.3697634,-4.5695,1.39148347,-1.64031684,9.53399326,85.44216274,105.41463976,88.32859401,84054967832.06764,3.138,108353881063.76,,2024-03-27T13:41:00.000Z,,,,,,2024-03-27 16:43:02.463121
